Pathway,Step,Activity Type,Name,Hyperlink,Description,Required,Competencies,Time,Tags,Licensing,ISBN,Curator
Personal Development,Step 3: Develop humility through authentic self-awareness.,Read,Forbes Article: 40 Questions to Ask a Mentor,https://www.forbes.com/sites/jomiller/2018/03/25/40-questions-to-ask-a-mentor/#10f73b99261b,"Read this short article for questions to ask your mentor to keep the conversation going.  This article aslo speaks to self-awareness and skill development, so you may want to return to it at Steps 5 and 7.",y,"self-reflection, mentorship",1 hr or less,,,,2
Personal Development,Step 4: Understand personal identity and examine unconscious bias for areas of growth,Read,How to Avoid Unconscious Bias in Leadership from Mind Resources Institute,https://www.mindresourcesinstitute.com/avoid-unconscious-bias-leadership/,Short article introducing tips for leaders.,n,,10 mins or less,,,,2
Personal Development,Step 4: Understand personal identity and examine unconscious bias for areas of growth,Watch,Howard Ross on Unconscious Bias,https://www.youtube.com/watch?time_continue=3&v=g5Go-4Q1RCs&feature=emb_logo,Learn how unconscious bias affects our decision making and what impact that has in your world as a leader,n,,10 mins or less,,,,2
Personal Development,Step 4: Understand personal identity and examine unconscious bias for areas of growth,Participate,Harvard Implicit Assumptions Test,https://www.glaxdiversitycouncil.com/resources/harvard-implicit-association-test-iat/,"Here is a tool that allows each of us to discover hidden cognitive biases.  Most people are aware of their own overt biases, but it is very difficult for us to become aware of our covert biases.  This is a test that can be taken by each individual for their own benefit. <p> Please note by completing the assessment you are consenting to your personal information being stored in the US. (User test results are anonymized and added to data sets to contribute to on-going research.)",y,,10 mins or less,,,,2
Personal Development,Step 4: Understand personal identity and examine unconscious bias for areas of growth,Read,The nature of Bias,https://www.td.org/insights/the-nature-of-bias,"This article provides a simple explanation of biases, in a non-threatening/nonjudgemental manner.",y,,10 mins or less,,,,2
Personal Development,Step 4: Understand personal identity and examine unconscious bias for areas of growth,Read,Combat Unconscious Bias With Curiosity and Empathy,https://www.td.org/insights/combat-unconscious-bias-with-curiosity-and-empathy,"This article about ridding unconscious bias with curiosity and empathy is a quick read, with helpful examples and tips.",n,,10 mins or less,,,,2
Personal Development,Step 4: Understand personal identity and examine unconscious bias for areas of growth,,What's your Leadership Identity? by Still Point Leadership,https://stillpointleadership.com/leadership-identity/,Clear and articulate article about exploring your own leadership identity.,y,,10 mins or less,,,,2
Personal Development,Step 4: Understand personal identity and examine unconscious bias for areas of growth,Participate,"LEAD Route Cards from Leadership Exploration and Development FLNRORD ",https://gww.nrs.gov.bc.ca/csnr/strategic-hr/lead-route-cards," LEAD Route Cards leverage the legacy work of the People Development Framework (PDF), launched in 2013. The Route Cards lead learners down a self-guided development path in various areas of focus. Using the 70-20-10 learning model, learners at all levels in the organization can explore new ways of approaching development and set a course for themselves to achieve their goals.",n,,>1 day,,,,2
Personal Development,Step 5: Bulid capacity to effectively receive and use feedback,Read,To Feed forward or Feedback? by Metasysteme Coaching,https://www.metasysteme-coaching.eu/english/to-feed-back-or-to-feed-forward/ ,"Article about feed forward: What is it? How do I do it? ""Rather than providing positive or negative feedback, feed forward consists in providing future-oriented options or solutions.""",y,communication,10 mins or less,"communication, coaching",n/a,n/a,2
Personal Development,"Step 6: Create opportunities outside of your role for practical application of leadership skills, and design your own evaluation to inform future growth",Participate,Leadership Exploration and Development FLNRORD,https://gww.nrs.gov.bc.ca/csnr/files/csnr/media/strategic_human_resources/leadership_effectiveness_self_assessment.pdf,This is a two-page self assessment of leadership effectiveness derived from R Anderson and W Adams Master Leadership.,y,self-reflection,1 hr or less,"assessment, leadership qualities",n/a,n/a,2
Personal Development,Step 7: Develop a plan to build a mentorship relationship.,Read,What the Best Mentors Do,https://hbr.org/2017/02/what-the-best-mentors-do,,y,,1 hr or less,,,,4
Personal Development,Step 7: Develop a plan to build a mentorship relationship.,Watch,Mentoring 101 Videos on Lifespeak,https://bcpsagency.lifespeak.com/learn?&share=true#/VolumeDetails/mentoring-101/frequently-asked-questions,"6 videos - approximately 6:00 minutes each The most admired leaders have a people-centric focus and inspire others to feel like fuller versions of themselves. This article discusses findings from a three-year study on how leaders can better judge and develop their talent in light of a changing and more purpose-driven work environment. ",y,"Mentorship, communication",1 hr or less,,,,4
Personal Development,Step 8: Identify personal strengths and weaknesses as a leader.,Read,Coaching Practices for Managers from the National Managers' Community,https://www.managers-gestionnaires.gc.ca/sites/default/files/publication_nmc/coaching_practices_for_managers.pdf,"This booklet provides mini-lessons that encourage leaders to reflect on what is going on around you in your daily life, to
learn new coaching language and to expand your observation skills. <p>  Practical, concise, easy to put into practice coaching suggestions.",y,,1 hr or less,,,,2
Personal Development,Step 8: Identify personal strengths and weaknesses as a leader.,Read,Keeping Your Professional Development Continous on The Guardian,https://www.theguardian.com/careers/careers-blog/keeping-professional-development-continuous,Practical tips for learning continously.,n,,10 mins or less,,,,2
Personal Development,"Step 9: Develop the confidence and presence required of leadership according to your own style, through practice and seeing feedback from others.",Read,Top Ranked Leaders Know This Secret: Ask for Feedback,https://www.forbes.com/sites/joefolkman/2015/01/08/top-ranked-leaders-know-this-secret-ask-for-feedback/#20be4d983195,"Asking for feedback as leader is not a sign of weakness.  In fact the impact of asking for feedback is not only positive for the leader, but also those aksed to provide feedback",y,,10 mins or less,,,,2
Personal Development,"Step 9: Develop the confidence and presence required of leadership according to your own style, through practice and seeing feedback from others.",Read,Difficult Conversations: How to Discuss What Matters Most,https://www.amazon.ca/Difficult-Conversations-Discuss-What-Matters/dp/0143118447,Shift purpose from 'being right' to 'understanding.' And 'what's wrong with you?' into 'What's going on for you?',n,,1 day or less,,,,3
Personal Development,"Step 9: Develop the confidence and presence required of leadership according to your own style, through practice and seeing feedback from others.",Read,How to Ask for Feedback: 16 ways to get the input you need,https://www.rapidstartleadership.com/how-to-ask-for-feedback/,Great tips on how to get constructive feedback from your boss... or anyone.,y,,10 mins or less,,,,2
Personal Development,"Step 9: Develop the confidence and presence required of leadership according to your own style, through practice and seeing feedback from others.",Watch,Want Feedback?,https://www.bing.com/videos/search?q=leadership+asking+for+feedback&&view=detail&mid=0D161DA3A8492853271C0D161DA3A8492853271C&&FORM=VRDGAR&ru=%2Fvideos%2Fsearch%3Fq%3Dleadership%2Basking%2Bfor%2Bfeedback%26FORM%3DHDRSC3,"This is a short video, a leadership nudge, to ask for feedback.",n,,10 mins or less,,,,2
Personal Development,"Step 9: Develop the confidence and presence required of leadership according to your own style, through practice and seeing feedback from others.",Read,5 Ways to Build Confidence & Reliability in Leadership.,https://psychcentral.com/blog/5-ways-to-build-confidence-reliability-in-leadership/,What's great about this article is that I have heard BCPS leaders offer the same advice!,y,,10 mins or less,,,,2
Personal Development,Step 10: Develop an awareness of leadership styles and articulate your personal philosophy of leadership.,Read,Five Essential Skills for Leadership - Psychology Today ,https://www.psychologytoday.com/us/blog/the-mindful-self-express/201206/five-essential-skills-leadership-in-the-21st-century,This is a quick read with helpful suggestions about how to demonstrate 5 skills for leadership.,y,self-reflection,1 hr or less,leadership qualities,n/a,n/a,2
Personal Development,Step 10: Develop an awareness of leadership styles and articulate your personal philosophy of leadership.,Read,Leadership Exploration and Development FLNRORD,https://gww.nrs.gov.bc.ca/csnr/files/csnr/media/strategic_human_resources/leadership_effectiveness_final.pdf,An exploration of what makes an effective leader that offers practical tips for leaders to develop in different areas.,n,,1/2 day or less,,,,2
Personal Development,Step 10: Develop an awareness of leadership styles and articulate your personal philosophy of leadership.,Read,Thanks for the Feedback by D. Stone and S. Heen,https://www.amazon.ca/Thanks-Feedback-Science-Receiving-Well/dp/0670014664,"The bestselling authors of the classic Difficult Conversations teach us how to turn evaluations, advice, criticisms, and coaching into productive listening and learning",n,,>1 day,,,,2
